pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
-341.21805723190323,STOP,6,2021-08-09 15:00:00,2021-08-09 16:30:00,1732.2766858300984,1723.226488562746,-1.0,0.9999999999999908
-334.39369608726514,STOP,4,2021-08-12 12:30:00,2021-08-12 13:37:00,1746.3821033126392,1740.8444014188308,-1.0,1.0000000000000182
983.1174664965455,TARGET,25,2021-08-16 06:17:00,2021-08-16 12:41:00,1772.4556570530058,1788.3254890097908,2.999999999999957,1.0000000000000142
-347.3681714954507,STOP,139,2021-08-17 14:15:00,2021-08-19 03:11:00,1782.8119856063258,1773.6689727902892,-1.0,1.0000000000000056
1021.2624241966253,TARGET,33,2021-08-19 19:14:00,2021-08-20 04:22:00,1776.5966294562065,1796.4740849251752,3.0,0.999999999999992
1082.5381696484226,TARGET,18,2021-08-24 08:05:00,2021-08-24 12:42:00,1800.8492245645302,1811.8778799027032,3.0,1.0000000000000007
-382.4968199424427,STOP,40,2021-08-24 13:34:00,2021-08-25 00:38:00,1802.1340519296905,1797.138627441386,-1.0,1.000000000000014
-374.8468835435938,STOP,21,2021-08-26 01:09:00,2021-08-26 06:29:00,1788.513119210479,1784.4769247658603,-1.0,0.9999999999999984
1102.0498376181442,TARGET,18,2021-08-26 06:30:00,2021-08-26 11:03:00,1784.783658620879,1796.420318415998,2.9999999999999414,1.000000000000016
-389.39094262508485,STOP,19,2021-08-27 08:24:00,2021-08-27 13:12:00,1796.730263880222,1790.8810167676043,-1.0,1.0000000000000147
1144.8093713177495,TARGET,2,2021-08-27 13:30:00,2021-08-27 14:00:00,1791.1721870170736,1809.4470903255806,3.0,0.9999999999999982
1213.4979335968144,TARGET_SAME,0,2021-08-27 14:00:00,2021-08-27 14:01:00,1789.5400242628803,1810.285624498808,3.0000000000000004,1.0000000000000047
-428.7692698708743,STOP,38,2021-08-30 06:13:00,2021-08-30 15:35:00,1813.8187276937429,1809.0892166393837,-1.0,1.0000000000000175
-420.1938844734569,STOP,8,2021-08-31 10:53:00,2021-08-31 12:58:00,1813.1764952806218,1809.0309096132528,-1.0,1.000000000000015
-411.79000678398774,STOP_SAME,0,2021-08-31 13:15:00,2021-08-31 13:15:00,1809.2629968192318,1804.0937073496173,-1.0,0.9999999999999805
1210.6626199449013,TARGET,18,2021-09-01 01:33:00,2021-09-01 06:09:00,1811.915987670287,1824.0927882058907,2.9999999999999445,1.000000000000016
1283.302377141618,TARGET,21,2021-09-01 07:38:00,2021-09-01 12:47:00,1812.0801734678944,1826.0167661494206,3.0000000000000004,1.0000000000000089
-453.4335065900384,STOP,42,2021-09-10 13:34:00,2021-09-13 01:03:00,1791.1148526615923,1783.6870237177084,-1.0,1.0000000000000144
-444.3648364582376,STOP,36,2021-09-14 01:05:00,2021-09-14 10:09:00,1789.9215969387433,1785.5180624374843,-1.0,0.9999999999999788
-435.4775397290729,STOP,3,2021-09-17 12:41:00,2021-09-17 13:25:00,1755.5923694398086,1749.3044294237138,-1.0,1.0000000000000075
-426.7679889344914,STOP,4,2021-09-17 13:15:00,2021-09-17 14:16:00,1753.586479010897,1746.5761064395977,-1.0,1.0000000000000058
1254.6978874674226,TARGET,13,2021-09-22 12:14:00,2021-09-22 15:25:00,1769.957135206323,1786.0682687535602,3.0000000000000426,0.9999999999999807
-443.3265869051501,STOP,5,2021-09-24 11:59:00,2021-09-24 13:03:00,1747.6042815520975,1741.297988302439,-1.0,0.9999999999999932
-434.46005516704713,STOP,6,2021-09-27 08:30:00,2021-09-27 10:04:00,1751.144959749801,1745.776878102221,-1.0,1.00000000000002
